borough,safety_score,family_score,house_price_k,outer_london,tier,danger_index,rank
Barnet,100.0,88.9,570,True,Excellent,0.0,1
Bromley,99.6,89.8,500,True,Excellent,0.37,2
Redbridge,99.4,89.7,420,True,Excellent,0.63,3
Bexley,99.4,89.7,360,True,Excellent,0.6,4
Havering,99.4,89.7,355,True,Excellent,0.59,5
Sutton,99.3,89.6,390,True,Excellent,0.72,6
Hillingdon,99.3,89.6,430,True,Excellent,0.72,7
Wandsworth,99.3,72.6,680,False,Excellent,0.73,8
Harrow,99.2,89.6,430,True,Excellent,0.79,9
Ealing,99.2,89.6,530,True,Excellent,0.78,10
Enfield,99.2,89.6,430,True,Excellent,0.82,11
Richmond upon Thames,99.1,78.1,760,True,Excellent,0.92,12
Kingston upon Thames,99.1,89.6,500,True,Excellent,0.94,13
Greenwich,99.0,89.5,450,True,Excellent,1.02,14
Hounslow,98.9,89.4,480,True,Excellent,1.08,15
Croydon,98.8,89.4,390,True,Excellent,1.19,16
Waltham Forest,98.6,89.3,470,True,Excellent,1.44,17
Brent,98.6,89.3,510,True,Excellent,1.38,18
Lewisham,98.5,79.2,460,False,Excellent,1.49,19
Newham,98.4,89.2,400,True,Excellent,1.64,20
Merton,98.4,89.2,540,True,Excellent,1.58,21
Barking and Dagenham,97.8,88.9,340,True,Excellent,2.18,22
Tower Hamlets,97.7,78.3,560,False,Excellent,2.28,23
Southwark,97.6,73.3,650,False,Excellent,2.36,24
Haringey,97.4,76.0,600,False,Excellent,2.61,25
Lambeth,97.4,76.0,600,False,Excellent,2.58,26
Islington,97.2,66.1,780,False,Excellent,2.83,27
Hackney,97.1,71.5,680,False,Excellent,2.92,28
Hammersmith and Fulham,96.9,62.1,850,False,Excellent,3.09,29
Camden,95.8,62.6,830,False,Excellent,4.25,30
Kensington and Chelsea,95.5,47.8,1650,False,Excellent,4.47,31
Westminster,93.1,46.6,1100,False,Excellent,6.86,32
City of London,0.0,10.9,900,False,High Risk,100.0,33
