borough,population
Barking and Dagenham,217000
Barnet,395000
Bexley,246000
Brent,332000
Bromley,330000
Camden,270000
City of London,9000
Croydon,384000
Ealing,341000
Enfield,333000
Greenwich,286000
Hackney,281000
Hammersmith and Fulham,183000
Haringey,270000
Harrow,250000
Havering,257000
Hillingdon,303000
Hounslow,270000
Islington,238000
Kensington and Chelsea,158000
Kingston upon Thames,176000
Lambeth,324000
Lewisham,298000
Merton,209000
Newham,352000
Redbridge,302000
Richmond upon Thames,197000
Southwark,307000
Sutton,207000
Tower Hamlets,310000
Waltham Forest,277000
Wandsworth,330000
Westminster,261000
